Designator,Name,Pattern,Mid X,Mid Y,Layer,Rotation
C1,CAP_0402,CAP_0402,-11.144,32.052,Top,90
C2,CAP_0402,CAP_0402,3.492,-13.7,Top,90
C3,CAP_0402,CAP_0402,1.009,-6.985,Top,0
C4,CAP_0402,CAP_0402,1.009,-8.424,Top,0
C5,CAP_0402,CAP_0402,-2.036,-4.906,Top,90
C6,CAP_0402,CAP_0402,-0.58,-4.906,Top,90
C7,CAP_0402,CAP_0402,2.366,21.907,Bottom,0
C9,CAP_0402,CAP_0402,-13.653,2.049,Top,90
C11,TANT_2917,TC_2917,-2.724,-32.385,Top,180
C10,CAP_0402,CAP_0402,-13.653,4.778,Top,270
D1,XZBWR68F5MAV-3,DIO_0402,-16.509,27.697,Top,270
D2,SML-P12DTT86R,DIO_0402,16.51,27.637,Top,90
D3,ESD5Z5.0T1G,SOD-523,-10.245,-10.477,Top,0
D4,ESD5Z5.0T1G,SOD-523,-10.245,-9.208,Top,0
D5,,SOD-123F,-9.045,-2.194,Top,270
D6,,SOD-123F,-13.624,-1.841,Top,180
J1,IDC2X10M,IDC20M,0,-23.177,Top,180
J2,USB-C 16P,USB-C 16P,-14.446,-9.688,Top,270
Q1,EMH3FHAT2R,SOT563,1.374,-13.28,Top,90
R2,RES_0402,RES_0402,1.508,-15.527,Top,180
R3,RES_0402,RES_0402,1.855,-10.764,Top,180
R6,RES_0402,RES_0402,-4.949,-4.906,Top,90
R7,RES_0402,RES_0402,-6.405,-4.906,Top,90
R4,RES_0402,RES_0402,-14.605,27.637,Top,270
R8,RES_0402,RES_0402,-3.492,-4.906,Top,90
R5,RES_0402,RES_0402,14.604,27.637,Top,90
R9,RES_0402,RES_0402,12.398,23.813,Top,0
R11,RES_0402,RES_0402,13.191,22.543,Top,0
R20,RES_0402,RES_0402,11.415,-15.716,Top,180
R19,RES_0402,RES_0402,7.159,-6.667,Top,0
R14,RES_0402,RES_0402,12.398,16.178,Top,0
R15,RES_0402,RES_0402,-10.016,-11.906,Top,180
R16,RES_0402,RES_0402,-10.016,-7.779,Top,180
R10,RES_0402,RES_0402,12.398,21.273,Top,0
R12,RES_0402,RES_0402,12.398,30.162,Top,0
R13,RES_0402,RES_0402,12.398,13.653,Top,0
R22,RES_0402,RES_0402,-12.08,21.273,Top,180
R17,RES_0402,RES_0402,3.636,-17.304,Top,180
R18,RES_0402,RES_0402,7,-17.304,Top,0
R21,RES_0402,RES_0402,-0.62,-17.304,Top,0
R1,RES_0402,RES_0402,12.398,17.621,Top,0
S2,TS02-66-110-BK-260-LCR-D,Thru Tactile Switch 6x6,-16.483,35.953,Top,90
S1,TS02-66-110-BK-260-LCR-D,Thru Tactile Switch 6x6,16.483,35.953,Top,90
SD1,TF-01 MicroSD,MicroSD Push/Push,5.884,21.317,Bottom,90
U1,ESP32-WROVER,ESP32-WROVER-PAD,0,21.277,Top,0
U2,CP2102N-QFN24,QFN-24/4x4x0.5,-4.447,-9.895,Top,180
U6,XC6210,SOT23-5,-11.274,3.096,Top,90
U3,LSF0204RGY,VQFN-14 3.5x3.5mm,-16.304,15.102,Bottom,180
U4,LSF0204RGY,VQFN-14 3.5x3.5mm,8.779,-7.916,Bottom,180
U5,LSF0204RGY,VQFN-14 3.5x3.5mm,15.446,-7.916,Bottom,180
VO1,SFH690,SOP-4/7x2.54,11.43,-9.867,Top,90
C8,CAP_0402,CAP_0402,2.366,20.637,Bottom,0
